text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
"_Brown Thank you so much Natalie, hope u are well",positive,noon,21-30,Dominican Republic,10847910,4.83E+04,225
" Please send me those youtube links, Erin watched most of them but I was cooking and didn`t get to see the cowboys",negative,night,31-45,Ecuador,17643054,248360,71
" That didn`t work, unfortunately.",negative,morning,46-60,Egypt,102334404,995450,103
Early morning walkies really aren`t my thing... at least it`s vaguely warm,neutral,noon,60-70,El Salvador,6486205,20720,313
get it right! I think I am obsessed with Hydes` voice @_@  I`ve chosen a guitar song to learn for the summer! Time to perfect picking!,positive,night,70-100,Equatorial Guinea,1402985,28050,50
 Good prices for bulk SMS and Premium SMS too  http://promotion.itagg.com,positive,morning,0-20,Eritrea,3546421,101000,35
is heading in to London to meet with  and  let us know if you`re about  still not sure what time we`re meeting.....,neutral,noon,21-30,Estonia,1326535,42390,31
" Actually, the post shows they know what happens when you overflow...",neutral,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67
What`s worse than a fever and sore throat? Cancelling a trip to see your little bro because of a fever and sore throat.,negative,morning,46-60,Ethiopia,114963588,1000000,115
 The Case of the Gigolo`s Picolo?,neutral,noon,60-70,Fiji,896445,18270,49
_92 yeah im okayy lots been happening while you not been here !! anyone special at the moment ? ****,neutral,night,70-100,Finland,5540720,3.04E+05,18
reconnecting with amadeus and friends,neutral,morning,0-20,France,65273511,547557,119
Yea!  Headed home to change and head over to Pelham.  Sad thought... suposed to be heading over there for the NKOTB concert...,negative,noon,21-30,Gabon,2225734,257670,9
" black is good... tight, or should I say too tight, not so good.",neutral,night,31-45,Gambia,2416668,10120,239
 Aw it says the pic doesn`t exist anymore,negative,morning,46-60,Georgia,3989167,69490,57
"Today, i did`t have lunch, cuz wel i embarrass my self with all 'school'  ok, FINAL TESTS and FINAL YEAR aaaaa! thanx God 4 That friends!",negative,noon,60-70,Germany,83783942,348560,240
is eating chocolate ready break,neutral,night,70-100,Ghana,31072940,227540,137
my newsreader is filling up with blogs  yay! keep pm`ing me your blog sites. I love reading them!,positive,morning,0-20,Greece,10423054,128900,81
testing out ymtumbkr on my iphone  http://tumblr.com/xiy1qycvc,neutral,noon,21-30,Grenada,112523,340,331
home alone and no one left me any gummy bears,negative,night,31-45,Guatemala,17915568,107160,167
back from melly`s party... i had fun...  i`m sleepy now...,positive,morning,46-60,Guinea,13132795,2.46E+05,53
 Haha...YAY!!! I`M CURED!!!!,positive,noon,60-70,Guinea-Bissau,1968001,28120,70
I guess she`s not the type of songwriter who dreams the great ones.,neutral,night,70-100,Guyana,786552,196850,4
 I know...  it`s already been two weeks!,neutral,morning,0-20,Haiti,11402528,27560,414
"Sick, sick, sick. This sucks. i can`t even breathe properly",negative,noon,21-30,Holy See,801,0,2003
Adding names to my Twitter account and learning how to use this amazing thing!,positive,night,31-45,Honduras,9904607,111890,89
 ooh thats an early start  ive got bed planned for that time..ha..LoveYouJonesy ****,positive,morning,46-60,Hungary,9660351,90530,107
" It`s allright pastor, jiayou for the book!!",neutral,noon,60-70,Iceland,341243,100250,3
Booo my best friend is leavin for the weekend. What ever will I do without her??,negative,night,70-100,India,1380004385,2973190,464
OH MY GOD! OH MY GOD! OH MY GOD! New SUPERNATURAL starts tonight!  New Sam and Dean! Oh My god! can`t breathe!  <3 <3,positive,morning,0-20,Indonesia,273523615,1811570,151
is never around for the sl100 quiz   I want water park tickets waaaa,neutral,noon,21-30,Iran,83992949,1.63E+06,52
" Hey, did his wife die? I am really confused. I hadn`t been on his MySpace in a little while, but I just read his Twit.",negative,night,31-45,Iraq,40222493,434320,93
i am kind of excited to go to school today. i dont know why. hopefully it will be a good day,positive,morning,46-60,Ireland,4937786,68890,72
 Doing a Rainbow and Unicorn film then?  #48hours,neutral,noon,60-70,Israel,8655535,21640,400
i keep reading contracts as cataracts... Someone should bring me panera,neutral,night,70-100,Italy,60461826,294140,206
Guess who has internet at her house? *raises hand* And it`s not dial up.,neutral,morning,0-20,Jamaica,2961167,10830,273
"My friend ..has cancelled on me for tomorrow, Now i have nothing to do...this makes me sad...  xxxxxx",negative,noon,21-30,Japan,126476461,364555,347
UGH BUT I N33D T0G0 BAD..,negative,night,31-45,Jordan,10203134,88780,115
 Are y`all coming out today??? We could go to the graveyard!!  HOORAYY!!!!!,positive,morning,46-60,Kazakhstan,18776707,2699700,7
my hair won`t turn whiiite,neutral,noon,60-70,Kenya,53771296,569140,94
 unfortunately I`m not drunk enough lol and have no money to get drunk  I have had alot though as u can imagine haha,negative,night,70-100,Kiribati,119449,8.10E+02,147
 Yeah prbly pickin up songs for SingStar. Haven`t checked the last few store updates. And dunno that Cranberries song.,neutral,morning,0-20,Kuwait,4270571,17820,240
tonight was a very bad night,negative,noon,21-30,Kyrgyzstan,6524195,191800,34
 Bristol`s is the ish! I LOVE their brunch on Sundays. Ruth Chris is good too but I got sick there once.,neutral,night,31-45,Laos,7275560,230800,32
all mom`s in the world congratulations,positive,morning,46-60,Latvia,1886198,62200,30
" but better hurry, so you wouldn`t be labeled as copycats",positive,noon,60-70,Lebanon,6825445,10230,667
is SOOOOO hungry right now! Should`ve eaten before this wedding.,negative,night,70-100,Lesotho,2142249,30360,71
 welcome to twitter my friend,positive,morning,0-20,Liberia,5057681,96320,53
at    Happy mother`s dayyy Deniseee <3,positive,noon,21-30,Libya,6871292,1759540,4
"Ben & Jerry`s fail. Got email for free ice cream. Says click here to redeem coupon. When I click, I get error message  ",negative,night,31-45,Liechtenstein,38128,160,238
"has anyone else seen this? the  DM notification email says 'reply on we web.' i am all for cool accents, but it`s weird online",negative,morning,46-60,Lithuania,2722289,6.27E+04,43
"YAYAYYAYAYAY Toy Story 3 is coming out. June 18, 2010 though",positive,noon,60-70,Luxembourg,625978,2590,242
 I`m straining to hear but it`s very hard from all the way over here.,negative,night,70-100,Madagascar,27691018,581795,48
 awwwh u stuck in traffic  booo!,negative,morning,0-20,Malawi,19129952,94280,203
" Fear not! You deserve alot, you care for animals. )) I`ll get some food, don`t worry!",positive,noon,21-30,Malaysia,32365999,328550,99
living it up at empire hotel...free bottle service. it ROCKS having connections,positive,night,31-45,Maldives,540544,300,1802
"Google Wave presentation: http://bit.ly/2ehfov  I`m not very impressed. It`s nice, but it`s not really for me",neutral,morning,46-60,Mali,20250833,1220190,17
" same to you bud. Kudos on your hardcore gym training, it`s a great lifechanging experience, keep it up!!!",positive,noon,60-70,Malta,441543,320,1380
    - brief interruption- brb. goodnight if i don`t catch u again later. gotta ck something,positive,night,70-100,Marshall Islands,59190,180,329
I still miss him... And i dont think he`s coming back,negative,morning,0-20,Mauritania,4649658,1030700,5
" dude, was that you in the new Star Trek Burger King commercial? Bud Light AND Burger King? So proud of u man.",positive,noon,21-30,Mauritius,1271768,2.03E+03,626
"MAD AS HELL! SOMEONE STOLE MY PINK & BLACK LEAPORD PRINT PUMPS I WANTED TO WEAR TODAY  BUT TO GOD BE THE GLORY, HE`LL BLESS ME ABUNDANTLY",negative,night,31-45,Mexico,128932753,1943950,66
 you didnt include Taylor in the 'Follow Friday',neutral,morning,46-60,Micronesia,115023,700,164
I got the new Silverstein CD. aha. Its AMAZING.  I highly recomend it.,positive,noon,60-70,Moldova,4033963,32850,123
chris came over for exactly one hour  i moped around after he left and ended up falling asleep.,neutral,night,70-100,Monaco,39242,1,26337
i`m a bum today,neutral,morning,0-20,Mongolia,3278290,1553560,2
went to the cd store to search for the cd. But,neutral,noon,21-30,Montenegro,628066,13450,47
" A big welcome to Twitterlandz grrl! Really wish I could have made it to the Bettie show,  glad to hear it was a success",positive,night,31-45,Morocco,36910560,446300,83
<----------- is listening the **** out of Lamb of God,neutral,morning,46-60,Mozambique,31255435,786380,40
Spilled chocolate milk in my car,negative,noon,60-70,Myanmar (formerly Burma),54409800,653290,83
" my hubby.  promised job promotion so we didn`t move, signed a new lease n they withdrew the promotion...",neutral,night,70-100,Namibia,2540905,8.23E+05,3
 plus I just deposited tax return cheque but for first time in 7+ years it didn`t clear immediately,negative,morning,0-20,Nauru,10824,20,541
LOVE getting gifts in the mail from my very wonderful friends back home!! How I miss Myrtle Beach so much... A little homesick today,neutral,noon,21-30,Nepal,29136808,143350,203
tomorrow is going to be sooo awkward & embarassing. lights & sounds last night was awesome,neutral,night,31-45,Netherlands,17134872,33720,508
"Still feeling weird about my ex and her engagement.  My mom made things worse.  I don`t even want her, but it`s still odd",negative,morning,46-60,New Zealand,4822233,263310,18
"a band from Hawaii with a Sublime sound, so all you sublime haters can just move along  ? http://blip.fm/~5yy4n",neutral,noon,60-70,Nicaragua,6624554,120340,55
Hockey was so fukinï¿½ good  **** you hole! xD,neutral,night,70-100,Niger,24206644,1266700,19
 Shop smart.  Shop S Mart.,positive,morning,0-20,Nigeria,206139589,910770,226
" yes, that`s what I meant... I don`t have anything to turn it into Hirigana, though.",neutral,noon,21-30,North Korea,25778816,120410,214
 That is INCREDIBLY sweet!!!! What a good Hubby...,positive,night,31-45,North Macedonia,2083374,25220,83
 caught tweets on it and got home in time for the last 5 mins of the ITV2 show!! #bgt Out tonight too so will miss it again,negative,morning,46-60,Norway,5421241,3.65E+05,15
off to lunch with all the people from aikido,neutral,noon,60-70,Oman,5106626,309500,16
 Too bad I can`t come!  Enjoy urself tho.,neutral,night,70-100,Pakistan,220892340,770880,287
Watching ET today!  <3 Supposed to have a clip from New Moon  Hating Drag Me To Hell,neutral,morning,0-20,Palau,18094,460,39
Oh my god. I literally drove in rain that was so hard that i couldn`t see in front of me. I`m shaking,negative,noon,21-30,Palestine State,5101414,6020,847
 me to mi sausage,neutral,night,31-45,Panama,4314767,74340,58
"got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo",neutral,morning,46-60,Papua New Guinea,8947024,452860,20
" house probably resembling your kind of heaven no?  maybe Ciaran`s angels have moved in with you, hence inability to locate!",neutral,noon,60-70,Paraguay,7132538,397300,18
 Good to hear... several of my peeps are working tonight...,positive,night,70-100,Peru,32971854,1280000,26
 I hope so too.  How are you?,positive,morning,0-20,Philippines,109581078,298170,368
"Actually, I think I`ll be more upset if I lost my data for Cake Mania 3. I was pretty far into the game",neutral,noon,21-30,Poland,37846611,3.06E+05,124
Boo....Up DLP is sold out for 8:30,neutral,night,31-45,Portugal,10196709,91590,111
"Just saw Star Trek! It was AMAZING! Seriously, so good. The entire cast was excellent, Spock and Kirk especially.  I want to see it again.",positive,morning,46-60,Qatar,2881053,11610,248
 aww  but we miss you here in the USA.,negative,noon,60-70,Romania,19237691,230170,84
Its seriously quiet and lonely here without Bunny,negative,night,70-100,Russia,145934462,16376870,9
ROTC brought a climbing wall to work for coworkers to try and climb if they wanted.  I forgot my climbing shoes at home today.,neutral,morning,0-20,Rwanda,12952218,24670,525
OK. break over. Back to the books. Have fun lovelies!  ? http://blip.fm/~5z8da,positive,noon,21-30,Saint Kitts and Nevis,53199,260,205
Downing a glass of ginger ale and then relishing an early evening in bed with 'Because I Said So' on Lifetime.,neutral,night,31-45,Saint Lucia,183627,610,301
Watching fireworks off the Bay bridge.,neutral,morning,46-60,Saint Vincent and the Grenadines,110940,390,284
_x Yepp.  Do you Like Dylan or Cole Better?,neutral,noon,60-70,Samoa,198414,2830,70
still freakin out about missing the game!!!  #jonasnewsongs,negative,night,70-100,San Marino,33931,6.00E+01,566
" yeah, its still totally in the high 60s here. soooo notlooking forward to aug and sept up here",neutral,morning,0-20,Sao Tome and Principe,219159,960,228
Dang  I left my Rolando`s dinner leftovers at home! I knew I should have put them in the shop fridge last night before we left downtown!,neutral,noon,21-30,Saudi Arabia,34813871,2149690,16
 no worries,positive,night,31-45,Senegal,16743927,192530,87
So sad I`m going to miss seeing Pennywise again this year,negative,morning,46-60,Serbia,8737371,87460,100
 haha. Thanks Shannon.  3 out of 5 boats got first.,positive,noon,60-70,Seychelles,98347,460,214
 if you`re watching this...I love you.' I almost died. But now...SHE MEANS NOTHING!,neutral,night,70-100,Sierra Leone,7976983,72180,111
woke up an hour early just to study for        a test,neutral,morning,0-20,Singapore,5850342,700,8358
 They open at 9 a.m.   And I hope to be there shortly after that.   No guarantees for me though!,neutral,noon,21-30,Slovakia,5459642,48088,114
"Is at work....  boo!  The Pin-Ups will be playing at Uncommon Ground Wednesday night at 9 p.m.! (1401 W. Devon Ave., Chicago 60660",neutral,night,31-45,Slovenia,2078938,20140,103
has just got out the shower,neutral,morning,46-60,Solomon Islands,686884,2.80E+04,25
he`s back! meeting him in 40 mins,neutral,noon,60-70,Somalia,15893222,627340,25
 Even IE8 would be better,positive,night,70-100,South Africa,59308690,1213090,49
" It is, Pinkwind is a thing from Vanessa`s dad. And My sister made me that SN in the 4th grade",neutral,morning,0-20,South Korea,51269185,97230,527
I cant change my profile picture on Facebook,neutral,noon,21-30,South Sudan,11193725,610952,18
 she lookd soo freaked out!!poor wee thing,negative,night,31-45,Spain,46754778,498800,94
omgoodness FINALLY back from dinner with the fam bam!,positive,morning,46-60,Sri Lanka,21413249,62710,341
was just about to try and  dl the sims 3 but realize my pc don`t meet the standard requirements  i need new pc lol!!!,neutral,noon,60-70,Sudan,43849260,1765048,25
"is happy  and clean, squeaky clean",positive,night,70-100,Suriname,586632,156000,4
Don`t Chase Me - Shea Fisher download it,neutral,morning,0-20,Sweden,10099265,410340,25
"Hmm...Whilst, walking through the city I received an inviataion into an SUV Limo via some prom fellows... Don`t they have dates? Oh boys!",neutral,noon,21-30,Switzerland,8654622,3.95E+04,219
"sickkk, it`s been two days since summer started and it suck already!",negative,night,31-45,Syria,17500658,183630,95
At an 80``S retro prom wishing HE was here to dance with!  I`m gonna miss his great dancing 2nite  but still having a blast & a few drinks,neutral,morning,46-60,Tajikistan,9537645,139960,68
why i chose iphone   http://tr.im/kpaE,neutral,noon,60-70,Tanzania,59734218,885800,67
i got in a fight with ryan. now hes like crying and im just dead inside. sigggh,negative,night,70-100,Thailand,69799978,510890,137
Adams morgannnn for jumbo slice,neutral,morning,0-20,Timor-Leste,1318445,14870,89
_Bloody_Poet What`s the matter?,neutral,noon,21-30,Togo,8278724,54390,152
 has a name label on his picture too.. i just hadnt added it in when i took this: http://www.twitpic.com/4hap4 picture..,neutral,night,31-45,Tonga,105695,720,147
  still need to see that movie ! I am all about vampires,neutral,morning,46-60,Trinidad and Tobago,1399488,5130,273
Have a happy Friday and weekend everyone .. TGIF for me is nothing,positive,noon,60-70,Tunisia,11818619,155360,76
" Yeah, I`ve seen that before, funny   *Hey honey, Jill just sent me a **** in a box*",neutral,night,70-100,Turkey,84339067,7.70E+05,110
 - JT on SNL tonight.,neutral,morning,0-20,Turkmenistan,6031200,469930,13
Studio Ghibli for this year; Ponyo! http://bit.ly/whar8 as always it seems to be perfect  we`ll be waiting till august for it,positive,noon,21-30,Tuvalu,11792,30,393
is going to sleep. Tomorrow Exam Review,neutral,night,31-45,Uganda,45741007,199810,229
"Brian (cat) still hasn`t shown up...I feel sad and sick, I`m afraid he`s been eaten by something.    It doesn`t look  good",negative,morning,46-60,Ukraine,43733762,579320,75
Missing Nate more than usual tonight,negative,noon,60-70,United Arab Emirates,9890402,83600,118
anyone got an FFE account? if so.. add me,neutral,night,70-100,United Kingdom,67886011,241930,281
" I`ll be one of your 'groovy guys' any time, shortie short  #photofollows",neutral,morning,0-20,United States of America,331002651,9147420,36
Birthday tomorrow. Doing jack **** all weekend,negative,noon,21-30,Uruguay,3473730,175020,20
How Come I Can Never Sleep Past?? Not Good,negative,night,31-45,Uzbekistan,33469203,425400,79
Just snuck out my window.. Now im laying on my roof looking at the stars. Its a nice night out tonight.,positive,morning,46-60,Vanuatu,307145,1.22E+04,25
"I just downloaded a ton of stunning, BEAUTIFUL wallpapers from www.interfacelift.com - go have a look.",positive,noon,60-70,Venezuela,28435940,882050,32
this one goes out to Jimmy Fallon and Justin Timberlake...doin` their Gibb Bros show on SNL  ? http://blip.fm/~5z1vd,neutral,night,70-100,Vietnam,97338579,310070,314
"to be really really... not bored but bad, i won`t know the news  but thats ok. BRB x",neutral,morning,0-20,Yemen,29825964,527970,56
cannot relaxing because she have to practice for her graduation,neutral,noon,21-30,Zambia,18383955,743390,25
"'Patchouli oil & incense had a surge in popularity in the 1960s & 1970s, mostly among devotees of the free love & hippie lifestyles.'",positive,night,31-45,Zimbabwe,14862924,386850,38
hi  godd day eweryone im in a reel good mood to day,positive,morning,46-60,Afghanistan,38928346,652860,60
"Whoo, BGT!! I really must multi-task and do my Art work at the same time though, back at College on Monday!!",neutral,noon,60-70,Albania,2877797,27400,105
"_ According to Mick Jagger, Hindu Ragas are more sfs sort of music",neutral,night,70-100,Algeria,43851044,2381740,18
 It takes a big man to type a sad tweet like that!,negative,morning,0-20,Andorra,77265,470,164
 better than throwing them out,neutral,noon,21-30,Angola,32866272,1246700,26
 I was going to but I`m stuck with it as I seem to have misplaced my remote  It`s extra bad tonight as well :|,negative,night,31-45,Antigua and Barbuda,97929,440,223
 Big Thanks Melody!  Gotta love that sunshine-lots of vit D,positive,morning,46-60,Argentina,45195774,2736690,17
i got baby g wach its zi same as the 1 lady gaga wears in eh eh film clip but in pink!! I LOVE YOU KAY thanks a heap  i win olivia,positive,noon,60-70,Armenia,2963243,28470,104
Hey! Let`s Follow each other! Wouldn`t that just be awesome!?,positive,night,70-100,Australia,25499884,7682300,3
" loving the shoes perez, looking fine as always  oh,and lady gaga, what can I say. Outstanding!",positive,morning,0-20,Austria,9006398,8.24E+04,109
"this evening,picking up n`pop and go for dinner at Ta Lum Tum Tum (som-tum),Major Avenue..decided to go home(not clubing tonite)..",neutral,noon,21-30,Azerbaijan,10139177,82658,123
Paper writing til my heart`s content,neutral,night,31-45,Bahamas,393244,10010,39
 awww such a sweetie. hope your mom has a wonderful mother`s day too,positive,morning,46-60,Bahrain,1701575,760,2239
 yeah dude. Mike is out,neutral,noon,60-70,Bangladesh,164689383,130170,1265
 It`s a great movie - My best is the Welsh flatmate,positive,night,70-100,Barbados,287375,430,668
" I got a headache because of all the hard work today, still not ready, with a #Heineken trying to finished up",negative,morning,0-20,Belarus,9449323,202910,47
Rachel is going to have lunch at baixa. And has a lot of stuffs to do.... Wanna come ?,neutral,noon,21-30,Belgium,11589623,30280,383
Just got to the gym but w/no energy,neutral,night,31-45,Belize,397628,22810,17
 Im sad i cant go. it makes me sad,negative,morning,46-60,Benin,12123200,112760,108
 same. Was going to try warm milk but I`m lactose intolerant  haha.,neutral,noon,60-70,Bhutan,771608,3.81E+04,20
Is my picture showing?,neutral,night,70-100,Bolivia,11673021,1083300,11
about to take my mum out for jewellery shopping and a coffee for mothers day,neutral,morning,0-20,Bosnia and Herzegovina,3280819,51000,64
so who is in for bring at HK lounge tomorrow ? $12 all you can drink till 5pm... then kareoke. I think it will be a nice Sunday!,positive,noon,21-30,Botswana,2351627,566730,4
 oh ****! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,negative,night,31-45,Brazil,212559417,8358140,25
I wanna feel my chin,neutral,morning,46-60,Brunei,437479,5270,83
 i do but is just a haul vid/photo slideshow only. I only do it for fun  http://www.youtube.com/eyezaddiction,positive,noon,60-70,Bulgaria,6948445,108560,64
feeling so great!,positive,night,70-100,Burkina Faso,20903273,273600,76
AHHHHHHHH!I can`t get miley to notice me......,negative,morning,0-20,Burundi,11890784,25680,463
"Coffee brewing, on this #musicmonday morning i`m #listening to the fray... Here`s to a good week",positive,noon,21-30,C�te d'Ivoire,26378274,318000,83
I Wanna be @ JET in the Mirage...     Couldn`t get to Hawaii either   *****Someday***** Much Love To THE_WOCKEEZ and SuperCr3w,positive,night,31-45,Cabo Verde,555987,4.03E+03,138
Just finished yet another amazing book by Susan Elizabeth Philips!!!  God I love her books so much!!! Which one to read next??? hmmm...,positive,morning,46-60,Cambodia,16718965,176520,95
_O_C I`m seriously screwed  I haven`t studied at all!!!! :`(,negative,noon,60-70,Cameroon,26545863,472710,56
well being a retired drummer I can do my own drum roll so all you need to do is read my posts since they take a ton of time  lol,neutral,night,70-100,Canada,37742154,9093510,4
being new to Twitter?!?!?,neutral,morning,0-20,Central African Republic,4829767,622980,8
"tired as heck, i wanna go home and sleep but i cant cause im have to be at the wash till my daddy gets off work.",negative,noon,21-30,Chad,16425864,1259200,13
is surfin`..,neutral,night,31-45,Chile,19116201,743532,26
 Did you see Star Trek? Now I can`t sleep.........too much action. Can`t wind down!!!,neutral,morning,46-60,China,1439323776,9388211,153
i got a freakin macbook!!!!! hoorayyy! but i freakin deleted phootbooth.,neutral,noon,60-70,Colombia,50882891,1109500,46
Ok. Over exagerrated. Twitter is not to bad.... I guess.,neutral,night,70-100,Comoros,869601,1861,467
 HAPPY MOTHERS DAY!  Tell ur mom that`s she an awesome madre & such a great example to the Archuleta familia!!,positive,morning,0-20,Congo (Congo-Brazzaville),5518087,3.42E+05,16
" Good morning to you, however it`s night time for me, so I am off to bed *hugs* Have a great day",positive,noon,21-30,Costa Rica,5094118,51060,100
But I do know is that I am extremely happy with him and wouldn`t change him for the world and don`t want anybody else.,positive,night,31-45,Croatia,4105267,55960,73
Getting the FAB portraits ready to upload today,positive,morning,46-60,Cuba,11326616,106440,106
 You have DSL? Welcome to 2009!,positive,noon,60-70,Cyprus,1207359,9240,131
Missing my mom today. We made it a 'date' every year to get our flowers together. This yr I was alone. Felt so weird,negative,night,70-100,Czechia (Czech Republic),10708981,77240,139
its too hot in my room. i wanna go swimming.,negative,morning,0-20,Democratic Republic of the Congo,89561403,2267050,40
 We`ve got a pool still boxed up because I need to level a suitable patch of ground before we can set it up.,neutral,noon,21-30,Denmark,5792202,42430,137
 http://twitpic.com/4so0u - OOO i wish i was her  he`s hot,positive,night,31-45,Djibouti,988000,23180,43
 I have a new found respect for you now that I know you know the Konami code!,neutral,morning,46-60,Dominica,71986,750,96
 At work at the mo and it`s so sunny here today   Off to see a band tonight!!,neutral,noon,60-70,Dominican Republic,10847910,4.83E+04,225
 Ace @ the exams!,neutral,night,70-100,Ecuador,17643054,248360,71
It`s sooo hot 2day!! Put a ton of sunblock on before jogging; still think my face burnt though!,negative,morning,0-20,Egypt,102334404,995450,103
" my name is Jason, but sunshine works too.",neutral,noon,21-30,El Salvador,6486205,20720,313
 took my forum access away   fail.,negative,night,31-45,Equatorial Guinea,1402985,28050,50
"lied last weekend when she said she wouldn`t get upset, just an FYI.",neutral,morning,46-60,Eritrea,3546421,101000,35
" hahaha! Guess you will have to reinforce your skates, haha... Remember who u r my friend, our semi-God with a gluten intolence",positive,noon,60-70,Estonia,1326535,42390,31
 yeah i want to know what that is too!,neutral,night,70-100,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67
the day goes on and on...i think im gonna write a song about it! still thinking itï¿½s impossible for me to get a true friend  why????,negative,morning,0-20,Ethiopia,114963588,1000000,115
"OMG i meant  <3 you`re the perfect Wolverine,sir  hehe",positive,noon,21-30,Fiji,896445,18270,49
hanging out with my babyy,neutral,night,31-45,Finland,5540720,3.04E+05,18
 Not yet.... too early in the AM,neutral,morning,46-60,France,65273511,547557,119
"_tron oh god, whose tire?",neutral,noon,60-70,Gabon,2225734,257670,9
i am the only arabic girl who`s online  every one is  a sleep ..,neutral,night,70-100,Gambia,2416668,10120,239
I ate Something I don`t know what it is... Why do I keep Telling things about food,neutral,morning,0-20,Georgia,3989167,69490,57
Good morning... Iï¿½m soooo tierd,neutral,noon,21-30,Germany,83783942,348560,240
_n Where can I get some?,neutral,night,31-45,Ghana,31072940,227540,137
  just wanna be there tonight,neutral,morning,46-60,Greece,10423054,128900,81
It`s only 10:30 and I am going to BED! Brain can`t focus at all.. Need a fresh new start. I pray that God grants me a fresh tomorrow.,neutral,noon,60-70,Grenada,112523,340,331
" very well, nothing flash - but different to chocolate 4 a change. good 2 meet U yesterday  gr8 atmosphere & discussion",positive,night,70-100,Guatemala,17915568,107160,167
I took my antibiotics and I still feel like ****,negative,morning,0-20,Guinea,13132795,2.46E+05,53
How can you guys lived in a city (paris)where u spend you entire life in the trafficjam...grrrr ...m` not used to it anymore,neutral,noon,21-30,Guinea-Bissau,1968001,28120,70
...Nomore adventure time,negative,night,31-45,Guyana,786552,196850,4
"happy bank holiday Monday, Tweeteramas! I`ll be spending the day doing yoga and having OCD attacks. You?",positive,morning,46-60,Haiti,11402528,27560,414
"Laura`s gone for the weekend, I miss her already!",negative,noon,60-70,Holy See,801,0,2003
had nutella croissant+mango+melon+coffee and a lovely stalk of iris for breakfast in bed courtesy of N  Have the house to myself til noon,positive,night,70-100,Honduras,9904607,111890,89
Whuuurrrrr - glands really swollen now. Guess the weekend`s a blow out.,negative,morning,0-20,Hungary,9660351,90530,107
All my spare time seems `twill be spent doing homework this weekend.,neutral,noon,21-30,Iceland,341243,100250,3
LAZZZZZZZZZZZZZZZY MONDAY !! Bank Holiday  Nicole why haven`t u direct msged me yet ?!!!,negative,night,31-45,India,1380004385,2973190,464
"Yummy yum-cha for mother`s day with mum, dad, arcel and egg-pants  yuuuuuum  http://twitpic.com/4w65x",positive,morning,46-60,Indonesia,273523615,1811570,151
5 things this Twitterer could do without  http://MikeFrizzi.com/blog/?p=192 SRC  / I like this guy.,positive,noon,60-70,Iran,83992949,1.63E+06,52
I wanna be at BEA as well!!!!   #BEA09,neutral,night,70-100,Iraq,40222493,434320,93
 lol -catch me if u can,neutral,morning,0-20,Ireland,4937786,68890,72
stupid wireless!!,negative,noon,21-30,Israel,8655535,21640,400
" HAHAAH! Crys, you blowing the fuses is a typical move",negative,night,31-45,Italy,60461826,294140,206
"spirit week! Tuesday have to be in make up by eight so I can die later. School wednesday and thursday then, finally sleep in on Friday!!",negative,morning,46-60,Jamaica,2961167,10830,273
"http://twitpic.com/66nbd - Ready for our 3D Jonas Brothers Experience. Real Brothers, not included",neutral,noon,60-70,Japan,126476461,364555,347
has a saw thumb from playing Virtua Tennis...,neutral,night,70-100,Jordan,10203134,88780,115
" We`re off.  I`m sorry. Parents coming in around 10-11, gonna eat with them, then house-hunt in Richardson. RAAAAIN CHEEECK",negative,morning,0-20,Kazakhstan,18776707,2699700,7
Just saw a dooope bmw 6 series parked with the top back....to bad it was raining,negative,noon,21-30,Kenya,53771296,569140,94
Laundry time and LOTS of it!,neutral,night,31-45,Kiribati,119449,8.10E+02,147
" ha ha, no, will be thankful i am not dragging them up a mountain today",positive,morning,46-60,Kuwait,4270571,17820,240
"Had a great time with mpix shootout, just great  thanks mpix...",positive,noon,60-70,Kyrgyzstan,6524195,191800,34
"Weather is lovely, I`m headed home via supermarket. Planning to spend some quality time knitting tonight.",positive,night,70-100,Laos,7275560,230800,32
sad ending to the softball season.,negative,morning,0-20,Latvia,1886198,62200,30
Women in Science & Technology conference in La Jolla - what an interesting day!  Met some really great people!,positive,noon,21-30,Lebanon,6825445,10230,667
_ Well their not gonna fit her in with this big long advertisement,neutral,night,31-45,Lesotho,2142249,30360,71
Musem equaled FAIL!!!!! hall of **** life was closed cause of construction,negative,morning,46-60,Liberia,5057681,96320,53
Just joined a twibe. Visit http://twibes.com/spinning to join -- not a spinner myself but do KNOW and RESPECT spinners   ...need coffee,positive,noon,60-70,Libya,6871292,1759540,4
http://twitpic.com/66ymw I`m gonna miss these guys so much  Thanks for making the 5 years at senior school amazing!,positive,night,70-100,Liechtenstein,38128,160,238
@_Freya Good Night,positive,morning,0-20,Lithuania,2722289,6.27E+04,43
"If this rain doesnt go away, I`m staying in bed all week til Mommy gets here",neutral,noon,21-30,Luxembourg,625978,2590,242
. very much enjoyed your 'whats in a name' article,positive,night,31-45,Madagascar,27691018,581795,48
 yeahh,neutral,morning,46-60,Malawi,19129952,94280,203
4 hours till Mothers Day Party  Yeah!,positive,noon,60-70,Malaysia,32365999,328550,99
 arrr bummer  who do you want to win?,neutral,night,70-100,Maldives,540544,300,1802
